article,primary_category,all_categories,confidence,processing_time,error
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1853.txt/1853.txt,Health,"Health, Social Issues, Culture",0.8,2.013838052749634,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m129.md/m129.md,Culture,"Culture, Research, History, Social Issues, Education",0.95,2.5434136390686035,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0483.txt/Stoicism_Buddhism_Epicureanism_Quotes_0483.txt,Culture,"Culture, Social Issues, Philosophy, Religion",0.9,2.560180902481079,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/took-thomas-edison-well-10-000-tries-got-successful-bulb-light-someone-asked-didnt-g_gpt-4o-mini.md/took-thomas-edison-well-10-000-tries-got-successful-bulb-light-someone-asked-didnt-g_gpt-4o-mini.md,Science,"Science, Education, Culture, Social Issues, Technology",0.9,2.5848116874694824,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0484.txt/Stoicism_Buddhism_Epicureanism_Quotes_0484.txt,Culture,"Culture, Education, Health, Social Issues",0.9,2.678020715713501,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m128.md/m128.md,Culture,"Culture, Research, History, Social Issues, Education",0.95,2.6993777751922607,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m13.md/m13.md,Culture,"Culture, Research, History, Social Issues, Education",0.95,2.7696304321289062,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1852.txt/1852.txt,Culture,"Culture, History, Philosophy",0.9,2.8490829467773438,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_construction.md,Culture,"Culture, Biology, Business, Environment",0.9,2.86143159866333,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/tool-dropped-repairing-car-roll-underneath-exact-center-murphy_chatgpt-4o.md/tool-dropped-repairing-car-roll-underneath-exact-center-murphy_chatgpt-4o.md,Culture,"Culture, Philosophy, Social Issues, Science, Ecology, Technology",0.95,2.8703300952911377,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b73.md/b73.md,Culture,"Culture, Research, Folklore, History, Social Issues, Education",0.95,2.8918771743774414,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/aint-jeans-make-butt-look-fat_gpt-4o-mini.md/aint-jeans-make-butt-look-fat_gpt-4o-mini.md,Culture,"Culture, Social Issues, Ecology, Education, Marketing",0.95,3.0105671882629395,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_conservatism.md,Politics,"Politics, Social Issues, Culture, Science",0.95,3.0873587131500244,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/linux-rebooting-adding-new-hardware_gpt-4o-mini.md/linux-rebooting-adding-new-hardware_gpt-4o-mini.md,Technology,"Technology, Culture, Science, Social Issues, Education",0.95,3.0933945178985596,
/var/lib/vectordbs/appliedanthropology/embed_data.text/prosocial.world/embed_data.text/tags_consilience.md,Culture,"Culture, Science, Social Issues, Education",0.9,3.2349586486816406,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/lisp-jokingly-called-intelligent-way-misuse-computer-think-description-great_gpt-4o-mini.md/lisp-jokingly-called-intelligent-way-misuse-computer-think-description-great_gpt-4o-mini.md,Technology,"Technology, Education, Culture, Science, Social Issues",0.95,3.2634646892547607,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/aint-something-happened-today-one-us-got-traded-kansas-city-casey-stengel-informing_chatgpt-4o.md/aint-something-happened-today-one-us-got-traded-kansas-city-casey-stengel-informing_chatgpt-4o.md,Culture,"Culture, Social Issues, Philosophy, Business, Ecology, Sports",0.95,3.3005480766296387,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b72d.md/b72d.md,Culture,"Culture, Research, History, Social Issues, Education, Science",0.95,3.3249120712280273,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0482.txt/Stoicism_Buddhism_Epicureanism_Quotes_0482.txt,Culture,"Culture, Philosophy, Religion",0.9,3.510758638381958,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/aint-nothin-old-man-bring-message-young-man-moms-mabley_chatgpt-4o.md/aint-nothin-old-man-bring-message-young-man-moms-mabley_chatgpt-4o.md,Culture,"Culture, Social Issues, Education, Philosophy, Technology, Gender",0.95,3.4273924827575684,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b73a.md/b73a.md,Culture,"Culture, Research, History, Social Issues, Education, Folklore",0.95,3.604973077774048,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/listener-nods-head-youre-explaining-program-wake_gpt-4o-mini.md/listener-nods-head-youre-explaining-program-wake_gpt-4o-mini.md,Education,"Education, Culture, Social Issues, Technology",0.95,1.7673988342285156,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0485.txt/Stoicism_Buddhism_Epicureanism_Quotes_0485.txt,Culture,"Culture, Philosophy, Social Issues",0.9,1.6838181018829346,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1854.txt/1854.txt,Technology,"Technology, Business, Culture",0.9,1.863826036453247,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m130.md/m130.md,Culture,"Culture, Research, Education, Science, Social Issues",0.9,1.9643495082855225,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b74.md/b74.md,Culture,"Culture, Research, Science, Social Issues, Environment, Education",0.95,1.971442699432373,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/totally-deny-allegations-trying-identify-allegators_gpt-4o-mini.md/totally-deny-allegations-trying-identify-allegators_gpt-4o-mini.md,Social Issues,"Social Issues, Culture, Ecology, Philosophy",0.95,2.5435099601745605,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/touch-fundamental-sense-baby-experiences-born-long-learns-use-sight_gpt-4o-mini.md/touch-fundamental-sense-baby-experiences-born-long-learns-use-sight_gpt-4o-mini.md,Ecology,"Ecology, Culture, Social Issues, Health, Education, Biology",0.95,2.2673676013946533,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/quotes/1856.txt/1856.txt,Culture,"Culture, Social Issues, Education",0.8,1.908031940460205,
/var/lib/vectordbs/appliedanthropology/embed_data.text/Stoicism_Buddhism_Epicureanism_Quotes/docs/Stoicism_Buddhism_Epicureanism_Quotes_0487.txt/Stoicism_Buddhism_Epicureanism_Quotes_0487.txt,Culture,"Culture, Social Issues, Education",0.9,1.8870136737823486,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/m130a.md/m130a.md,Culture,"Culture, Research, Education, Social Issues, History, Folklore",0.95,2.2241861820220947,
/var/lib/vectordbs/appliedanthropology/embed_data.text/myths/mdfiles/b73b.md/b73b.md,Culture,"Culture, Research, Folklore, Social Issues, History, Education",0.95,2.776144504547119,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/air-water-holes_chatgpt-4o.md/air-water-holes_chatgpt-4o.md,Culture,"Culture, Philosophy, Environment, Social Issues, Science, Education",0.95,2.367492198944092,
/var/lib/vectordbs/appliedanthropology/embed_data.text/zenquotes/discourse.md/little-distress-selling-stock-exchange-thomas-w-lamont-october-29-1929-black-tuesday_gpt-4o-mini.md/little-distress-selling-stock-exchange-thomas-w-lamont-october-29-1929-black-tuesday_gpt-4o-mini.md,Finance,"Finance, Economy, Ecology, Culture, Social Issues, History",0.95,2.447937488555908,
