article,category,category_path,domain,level,confidence,is_inherited,is_primary,total_chunks,processing_time,model_used
the-genies-are-out-of-the-bottle-and-there-s-no-putting-them-back_sonnet-3.7.md,Human Behavioral Evolution,general/Human Behavioral Evolution,general,1,0.95,False,True,45,2.6253490447998047,openai:gpt-4o-mini
the-genies-are-out-of-the-bottle-and-there-s-no-putting-them-back_sonnet-3.7.md,Ethics in Science,general/Ethics in Science,general,1,0.85,False,False,45,2.6253490447998047,openai:gpt-4o-mini
the-genies-are-out-of-the-bottle-and-there-s-no-putting-them-back_sonnet-3.7.md,Cultural Anthropology,general/Cultural Anthropology,general,1,0.8,False,False,45,2.6253490447998047,openai:gpt-4o-mini
the-genies-are-out-of-the-bottle-and-there-s-no-putting-them-back_sonnet-3.7.md,Mindfulness and Well-being,general/Mindfulness and Well-being,general,1,0.75,False,False,45,2.6253490447998047,openai:gpt-4o-mini
the-genies-are-out-of-the-bottle-and-there-s-no-putting-them-back_sonnet-3.7.md,Social Dynamics,general/Social Dynamics,general,1,0.7,False,False,45,2.6253490447998047,openai:gpt-4o-mini
human-vs-ai-consciousness.md,Philosophy of Existence,general/Philosophy of Existence,general,1,0.95,False,True,170,2.6810708045959473,openai:gpt-4o-mini
human-vs-ai-consciousness.md,Human Behavioral Evolution,general/Human Behavioral Evolution,general,1,0.85,False,False,170,2.6810708045959473,openai:gpt-4o-mini
human-vs-ai-consciousness.md,Cultural Anthropology,general/Cultural Anthropology,general,1,0.75,False,False,170,2.6810708045959473,openai:gpt-4o-mini
human-vs-ai-consciousness.md,Interconnectedness,general/Interconnectedness,general,1,0.65,False,False,170,2.6810708045959473,openai:gpt-4o-mini
human-vs-ai-consciousness.md,Ethics in Science,general/Ethics in Science,general,1,0.6,False,False,170,2.6810708045959473,openai:gpt-4o-mini
Are-You-Ready-To-Be-Automated.md,Human Behavioral Evolution,general/Human Behavioral Evolution,general,1,0.95,False,True,41,3.219668388366699,openai:gpt-4o-mini
Are-You-Ready-To-Be-Automated.md,Evolutionary Biology,general/Evolutionary Biology,general,1,0.85,False,False,41,3.219668388366699,openai:gpt-4o-mini
Are-You-Ready-To-Be-Automated.md,Cultural Anthropology,general/Cultural Anthropology,general,1,0.75,False,False,41,3.219668388366699,openai:gpt-4o-mini
Are-You-Ready-To-Be-Automated.md,Social Dynamics,general/Social Dynamics,general,1,0.7,False,False,41,3.219668388366699,openai:gpt-4o-mini
Are-You-Ready-To-Be-Automated.md,Ethics in Science,general/Ethics in Science,general,1,0.65,False,False,41,3.219668388366699,openai:gpt-4o-mini
machines-of-loving-grace.md,Human Behavioral Evolution,general/Human Behavioral Evolution,general,1,0.95,False,True,309,3.3154854774475098,openai:gpt-4o-mini
machines-of-loving-grace.md,Cultural Anthropology,general/Cultural Anthropology,general,1,0.85,False,False,309,3.3154854774475098,openai:gpt-4o-mini
machines-of-loving-grace.md,Mindfulness and Well-being,general/Mindfulness and Well-being,general,1,0.75,False,False,309,3.3154854774475098,openai:gpt-4o-mini
machines-of-loving-grace.md,Philosophy of Existence,general/Philosophy of Existence,general,1,0.7,False,False,309,3.3154854774475098,openai:gpt-4o-mini
machines-of-loving-grace.md,Evolutionary Biology,general/Evolutionary Biology,general,1,0.65,False,False,309,3.3154854774475098,openai:gpt-4o-mini
