# hf-rights.tsv — rights tier per source group (SKELETON: machine-guessed, REVIEW REQUIRED)
#
# Format: <path-prefix>\t<tier>   (longest prefix wins; trailing comments ignored)
# Tiers:
#   original      — Gary Dean's own work or AI-generated content; full text publishable (CC BY 4.0)
#   public-domain — verified public-domain work AND translation; full text publishable
#   cc0           — dedicated to the public domain by the rights holder; full text publishable
#   cc-by         — Creative Commons Attribution; full text publishable with attribution
#   cc-by-nc      — Attribution-NonCommercial; NOT exported (release carries no NC terms)
#   cc-by-nc-nd   — Attribution-NonCommercial-NoDerivatives; NOT exported (see note below)
#   cc-by-nc-sa   — Attribution-NonCommercial-ShareAlike; NOT exported
#   copyrighted   — third-party in-copyright (or unverified); catalogue metadata only, text NEVER exported
#
# Only original, public-domain, cc0 and cc-by are exportable; mk-hf-catalogue.sh
# holds that allowlist and decides text_included from it. Adding a tier name here
# does NOT make it exportable — the allowlist must be changed deliberately.
#
# ▲ NoDerivatives: extracted articles store narrative sections only, i.e. an
# abridgement. Distributing that is making a derivative, so ND material stays
# unexported even where non-commercial use would otherwise be fine.
#
# Defaults are conservative: everything unrecognised is marked copyrighted.
# Sub-paths may override their parent group (longest match wins), e.g. zenquotes/discourse.md below.
#
zenquotes/discourse.md	original	# AI-generated discourses (gpt-4o-mini)
2025	copyrighted	# 1 docs
A-97-Year-Old-Philosopher-Faces-His-Own-Death.md	copyrighted	# 1 docs
against-the-stream	copyrighted	# 7 docs
AI	copyrighted	# 13 docs
anarchy	copyrighted	# 121 docs
anthropology	copyrighted	# 16 docs
Bali	copyrighted	# 4 docs
Balthasar-Gracian_The-Art-of-Worldly-Wisdom.md	copyrighted	# 1 docs
Bessel-van-Der-Kolk	copyrighted	# 1 docs
Blueprint	copyrighted	# 1 docs
Bodhi	copyrighted	# 42 docs
Body_Keeps_Score.md	copyrighted	# 1 docs
CFT-Mini-Guide.md	copyrighted	# 1 docs
characteristics-of-a-dharma_o3.md	original	# 1 docs
Christopher_Boehm	copyrighted	# 13 docs
Civilisations	copyrighted	# 11 docs
Cornelia-C-Walther_Why-ProSocial-AI-Is-ProPlanetary-AI_A-Promise-For-Planetary-Harmony.md	copyrighted	# 1 docs
Cory-Doctorow_How-to-Destroy-Surveillance-Capitalism_2021.md	copyrighted	# 1 docs
DD	original	# Defining Dharma — numbered chapter dirs (0-preface … 8-future) are Gary's own
DD/sources	copyrighted	# 480 docs — third-party reference material scraped for the book: Guardian, The Spinoff, Stanford Encyclopedia of Philosophy, Wikipedia, PhilPapers. NEVER original.
definition	copyrighted	# 6 docs
dharma-research	copyrighted	# 7 docs
Dharmic_Existentialist_Ethics	copyrighted	# 1 docs
Dr-Aidan_Good-People-Make-Bad-Leaders_Machiavellis-The-Prince.md	copyrighted	# 1 docs
DS_Wilson	copyrighted	# 4 docs
Einzelganger	copyrighted	# 2 docs
Einzelganger.txt	copyrighted	# 1 docs
emails	copyrighted	# 67 docs
emergence-of-dharmas-as-opposition.md	copyrighted	# 1 docs
emergence-of-subcultures.md	copyrighted	# 1 docs
enlightenment	copyrighted	# 4 docs
Enlightenment_Now	copyrighted	# 1 docs
Evan-Thompson_Waking-Dreaming-Being-Self-and-Consciousness.md	copyrighted	# 1 docs
evobio	copyrighted	# flat pre-2026-08-09 layout (553 ingested docs); superseded by evobio/<tier>/ below
evobio/cc-by	cc-by	# 511 docs — full text exportable with attribution
evobio/cc-by-nc	cc-by-nc	# 99 docs — non-commercial only, not exported
evobio/cc-by-nc-nd	cc-by-nc-nd	# 19 docs — no derivatives; stored text is abridged, not exported
evobio/cc-by-nc-sa	cc-by-nc-sa	# 8 docs — share-alike, not exported
evobio/withheld	copyrighted	# 4 docs — no redistribution grant at all; 2 rely on the COVID-19 emergency permission that lapsed with the WHO declaration (2023-05-05), 2 carry no licence element
evolutionary_perspectives	copyrighted	# 5 docs
facts-about-out-existence.md	copyrighted	# 1 docs
faqs	original	# 11 docs
Free_Culture	copyrighted	# 1 docs
Gary-Dean	original	# 1 docs
gd_keep_notes	original	# 801 docs
Georgia-Ede_Change-Your-Diet-Change-Your-Mind_2024.md	copyrighted	# 1 docs
Graeber	copyrighted	# 42 docs
Greenwald-Glen_No-Place-to-Hide.md	copyrighted	# 1 docs
guilds	copyrighted	# 1 docs
homelessness	copyrighted	# 1 docs
Humankind	copyrighted	# 1 docs
Hurd-Ryan+Bulkeley-Kelly_Lucid-Dreaming-New-Perspectives-on-Consciousness-in-Sleep_2014.md	copyrighted	# 1 docs
ikigai	copyrighted	# 2 docs
i-never-thought-60-would-feel-like-this.md	copyrighted	# 1 docs
james_c_scott	copyrighted	# 2 docs
James-J-Fox	copyrighted	# 1 docs
Jared-Henderson	copyrighted	# 1 docs
J-Draper_We-Didnt-Start-The-Class-War_The-Tudor-Homelessness-Crisis.md	copyrighted	# 1 docs
Jean-Jacques-Rousseau	copyrighted	# Penguin Classics edn, tr. Maurice Cranston (d.1993) — in copyright to ~2064. The 1755 work is PD; this translation is not. Frontmatter says year 1755, filename says _1985.
Jeff_Hawkins	copyrighted	# 1 docs
Josh-Chin+Liza-Lin_Surveillance-State.md	copyrighted	# 1 docs
Judaism-Unpacked_Why-So-Many-Jews-Fall-In-Love-With-Buddhism.md	copyrighted	# 1 docs
Ken-Wilber	copyrighted	# 1 docs
Kurzweil	copyrighted	# 1 docs
Lisa-Feldman-Barrett	copyrighted	# 1 docs
Marcus-Mietzner	copyrighted	# 1 docs
Mark-Pagel_Human-Tribalism_A-Curse-of-Our-Evolutionary-Past_Gifford-Lectures-2019.txt	copyrighted	# 1 docs
Matthew-Walker	copyrighted	# 1 docs
Max-Fisher_The-Chaos-Machine_The-Inside-Story-of-How-Social-Media_2022.md	copyrighted	# 1 docs
Monasticism.md	copyrighted	# 1 docs
Montaigne	public-domain	# 1 docs	# PD original — verify translation vintage
Moores_Law_for_Everything.md	copyrighted	# 1 docs
multispecies-ethnography	copyrighted	# 1 docs
Mutual_Aid	public-domain	# 1 docs
mysticism	copyrighted	# 5 docs
myths	copyrighted	# 3132 docs
Nomad-Elite_Why-Leaving-Australia-is-the-New-Australian-Dream.md	copyrighted	# 1 docs
Open-Source_Everything	copyrighted	# 1 docs
Patrick-Winn	copyrighted	# 1 docs
Paul-Nurse	copyrighted	# 1 docs
Pierre-Clastres	copyrighted	# 1 docs
plato_the-apology.md	public-domain	# 1 docs	# PD original — verify translation vintage
prosocial.world	copyrighted	# 206 docs
ReTribalize_Spiritual-Community-vs-Homesteaders-vs-Networkstate.md	copyrighted	# 1 docs
ReTribalize_Why-Spiritual-Communities-Cant-Build-Anything-Real.md	copyrighted	# 1 docs
Robert-D-Putnam	copyrighted	# 1 docs
Rupert-Bozeat	copyrighted	# 1 docs
samin	copyrighted	# 11 docs
Sapolsky	copyrighted	# 6 docs
Schopenhauer	copyrighted	# 3 of 4 docs are modern third-party (a Nietzsche Podcast transcript, two "inspired by" essays). The-Wisdom-of-Life is very likely the PD Saunders 1890 translation but names no translator in the file — confirm, then give it its own public-domain line.
Secret_Of_Our_Success	copyrighted	# 1 docs
secular_dharma_primary_prompt.md	original	# 1 docs
singularity	copyrighted	# 1 docs
situational_awareness	copyrighted	# 10 docs
